Timestamp,Device,button,overview,screenshot
02:32:09_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:32:09_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:32:09_03-09-2015.jpg
02:32:09_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:32:09_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:32:09_03-09-2015.jpg
02:32:09_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.02:32:09_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.02:32:09_03-09-2015.jpg
02:32:12_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:32:12_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:32:12_03-09-2015.jpg
02:32:13_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:32:13_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:32:13_03-09-2015.jpg
02:32:13_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:32:13_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:32:13_03-09-2015.jpg
02:32:13_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:32:13_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:32:13_03-09-2015.jpg
02:32:13_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:32:13_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:32:13_03-09-2015.jpg
02:32:13_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:32:13_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:32:13_03-09-2015.jpg
02:32:13_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:32:13_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:32:13_03-09-2015.jpg
02:32:13_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.02:32:13_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.02:32:13_03-09-2015.jpg
09:58:22_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.09:58:22_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.09:58:22_03-09-2015.jpg
09:58:23_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.09:58:23_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.09:58:23_03-09-2015.jpg
10:03:05_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.10:03:05_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.10:03:05_03-09-2015.jpg
10:03:08_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.10:03:08_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.10:03:08_03-09-2015.jpg
10:26:04_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.10:26:04_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.10:26:04_03-09-2015.jpg
10:26:06_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.10:26:06_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.10:26:06_03-09-2015.jpg
10:26:08_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.10:26:08_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.10:26:08_03-09-2015.jpg
10:26:09_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.10:26:09_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.10:26:09_03-09-2015.jpg
10:26:11_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.10:26:11_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.10:26:11_03-09-2015.jpg
10:40:49_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.10:40:49_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.10:40:49_03-09-2015.jpg
10:40:50_03-09-2015,400025000c47343432313031,button1,http://pelars.netne.net/images/400025000c47343432313031.button1.overview.10:40:50_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button1.screenshot.10:40:50_03-09-2015.jpg
10:48:29_03-09-2015,400025000c47343432313031,button2,http://pelars.netne.net/images/400025000c47343432313031.button2.overview.10:48:29_03-09-2015.jpg,http://pelars.netne.net/images/400025000c47343432313031.button2.screenshot.10:48:29_03-09-2015.jpg
